state_fips,outbound_2025,outbound_2030,inbound_2025,inbound_2030,state_name
42,694901.2153184238,729789.2930923253,597803.3801381479,638550.135049454,Pennsylvania
36,534471.4694207426,635526.6552679815,612370.5462973276,723838.5842357267,New York
51,371908.99509483785,387311.6077484942,420583.5866788336,439447.8577890578,Virginia
34,353849.2253130824,418889.29730286926,382217.93050304253,427703.791543196,New Jersey
54,230859.24948661256,208957.2727052887,139037.90309082615,135434.68084976333,West Virginia
24,214834.6164710525,223606.85688363505,233390.72321150004,238707.17576799841,Maryland
25,180897.1005220323,211993.6922564485,195114.2827619955,222266.58739075478,Massachusetts
09,125714.0396693369,139850.9432192329,132589.872017145,149725.28426464726,Connecticut
23,78194.59615024673,88213.6620803671,73460.23874686289,76518.2794428507,Maine
33,57149.66292551965,63014.16299072455,65844.08597331334,81220.26025376622,New Hampshire
10,45070.68815228802,53631.04808426239,47411.18869043307,54154.219077062335,Delaware
44,36588.73827557299,42392.07657635941,35068.31897459915,39924.50573021915,Rhode Island
50,32092.42202036934,30904.054651098028,24332.405289050075,26313.213583933415,Vermont
11,6338.4630386834315,6401.746120660122,9800.903980192019,10869.907409796422,D.C.
