origin_county_fips,tons_2025,tons_2030,state_fips,state_name,rank
42003,65815.41547964762,66958.7745877082,42,Pennsylvania,1
36029,54843.756322830835,62882.66360512291,36,New York,2
36061,52158.385813575245,64394.747302620395,36,New York,3
42101,45514.01486256968,56059.43367310586,42,Pennsylvania,4
34023,44081.98073467438,51655.637263998586,34,New Jersey,5
25017,42699.76748475887,49355.82680810631,25,Massachusetts,6
24031,41318.941077066585,37945.396646803325,24,Maryland,7
34039,39042.47000363218,49060.3895399272,34,New Jersey,8
42123,36844.77660825572,30668.12434665611,42,Pennsylvania,9
36067,36439.1571580078,46897.32494501827,36,New York,10
9110,35172.28614335161,36941.43044999179,09,Connecticut,11
36055,34528.25658411743,36757.36454380902,36,New York,12
34003,33047.21440044513,38374.0683750065,34,New Jersey,13
42071,31702.33956854208,33847.06956939974,42,Pennsylvania,14
54039,30079.21480484105,25690.559668478905,54,West Virginia,15
42133,28772.874347276167,29149.802306823345,42,Pennsylvania,16
34027,28542.439299216756,33589.55190474911,34,New Jersey,17
36103,28389.869195702013,34283.367773841645,36,New York,18
42091,27950.443719166877,32126.89694520845,42,Pennsylvania,19
24510,27480.794879312318,28138.877051679443,24,Maryland,20
25025,26077.656996229493,29908.305126958232,25,Massachusetts,21
10003,25731.368364328577,32410.790718679185,10,Delaware,22
42019,25482.05365456346,23164.021511666004,42,Pennsylvania,23
51059,25231.350298130474,29286.97054780129,51,Virginia,24
34013,25030.34029724851,28766.19268479489,34,New Jersey,25
9190,24232.629439352386,27858.20320617857,09,Connecticut,26
44007,23266.57791178398,26644.82757687564,44,Rhode Island,27
42079,23237.66457405179,23524.287382136426,42,Pennsylvania,28
42129,22882.481025260706,21906.030418484796,42,Pennsylvania,29
34015,22270.31578870788,23720.13224472265,34,New Jersey,30
36047,21937.35187926366,26766.49498220491,36,New York,31
34017,21608.866972722233,26143.205554880904,34,New Jersey,32
36081,21591.89070812911,25588.039409255274,36,New York,33
42083,21549.3290828763,18311.41831265631,42,Pennsylvania,34
24005,21303.087486715947,22734.535312532364,24,Maryland,35
23005,20356.89053032057,23555.187174592724,23,Maine,36
42045,19503.859406937103,24319.2127745585,42,Pennsylvania,37
9170,19441.291523641794,22268.030074533064,09,Connecticut,38
34025,19378.737984622665,23618.07989340186,34,New Jersey,39
25021,19229.929021330583,22664.60459834141,25,Massachusetts,40
54107,19079.633730734175,15906.905347661897,54,West Virginia,41
25027,18966.52102548646,22164.31505723553,25,Massachusetts,42
54061,18850.013480077563,15664.929278618956,54,West Virginia,43
42049,18810.261144196742,18695.10873308112,42,Pennsylvania,44
36059,18375.360186187794,22434.27700121084,36,New York,45
42043,18187.917509773764,19181.624926821292,42,Pennsylvania,46
36001,17827.283444648587,19140.925320502898,36,New York,47
42017,17359.575189096355,20673.348366303366,42,Pennsylvania,48
42041,17355.026634140475,17898.123623890435,42,Pennsylvania,49
24033,17244.084942316138,18895.28850854063,24,Maryland,50
