region_id,n_counties,total_throughput_ktons,demand_vs_target_pct,centroid_x_m,centroid_y_m,sse_m2,is_connected
0,7,53080.9782308119,-8.541857664771106,2142190.5994249694,-34362.07820953925,13492696738.040525,True
1,4,62611.89674492146,7.879846137645187,2040415.8531150743,-154640.099046957,2587722474.6382723,True
2,10,55898.73884706197,-3.6868764625217154,1720998.4801924606,-276837.212715991,48231655217.02521,True
3,6,60466.98443294955,4.184177706820356,1834457.7101504747,18250.389346690856,8846265297.153864,True
4,7,54493.28088615023,-6.1084703841015715,2067512.5674665596,-620292.9707384304,5317186140.143998,True
5,7,46869.74697538828,-19.243764283097324,2318269.997707038,352110.6619430586,22627731480.1768,True
6,3,68922.45370105685,18.75289022133126,1982534.882314534,-355462.34656615026,1352046420.9855254,True
7,3,49094.37175725286,-15.410751842039,2132125.6620144253,-89973.99873725725,1159041613.8151703,True
8,9,63481.68163015158,9.3784792164951,1894822.7857964055,-345666.43905289366,17529920981.428646,True
9,2,64160.569584174846,10.548198260834244,2137314.192576031,-119803.3475535159,302401997.4107121,True
10,18,50854.597682102125,-12.37789527942999,2171889.9723688345,260982.22138564195,144269558270.74963,True
11,8,71228.94778296447,22.726962875403455,1886446.4675701968,-408230.40822783706,19711207719.33699,True
12,5,50602.94372947703,-12.811493223279651,1898661.8846682073,43448.20039240594,8534296370.914303,True
13,13,58080.64529078591,0.07253259027571249,1981190.3423760014,-604585.0459586855,17158914960.62064,True
14,12,30347.735931177216,-47.7110700508073,1714730.39161688,-690421.6152589394,38020341018.957115,True
15,1,47721.196222924744,-17.776723375640746,2124173.5607663733,-172768.35073426232,0.0,True
16,2,57235.625160249605,-1.3834309949971442,2269792.930991709,113758.28607079954,998817647.4907252,True
17,5,52904.4680166671,-8.845983489632152,2286012.9898008155,198358.75682334477,8790284254.415035,True
18,19,51077.239774767346,-11.994284560873767,1864968.61303768,-503206.1223994168,58054548299.49912,True
19,20,63576.12067031993,9.54119700101222,1834922.3784141983,-280599.231058815,237517727140.12308,True
20,4,54886.09710962715,-5.431650866531232,2090714.5445578026,-143023.09522290816,3419733520.507824,True
21,13,60234.60686576007,3.7837928359327764,1977680.352475932,-43859.1408941754,56444688792.89886,True
22,1,71002.10710293976,22.336118021133643,1712102.1613869076,-23590.0645322853,0.0,True
23,5,58069.72770775138,0.05372167351401874,2133971.992452486,-265108.5817589138,14025828198.555986,True
24,5,154175.04026640643,165.64248149141483,2174146.108385977,-124510.50744041507,7706903547.524098,True
25,2,67285.171494575,15.931864798019957,2150950.9861450726,-119467.45051251279,67452393.25059706,True
26,2,35585.0457179289,-38.687223092908155,2314757.1945400108,109890.19411782343,256465630.81283796,True
27,3,69387.57530092308,19.554291380495712,2049568.1747637773,-244328.10444517256,1262215770.3250964,True
28,35,52349.08283086407,-9.802908155812599,1623057.6931308717,-635019.453742983,363033414672.5118,True
29,10,66629.0525872804,14.80137665683962,2083802.7346396323,-429151.8704360918,36022025822.08643,True
30,5,73069.66454070013,25.89850456206566,2027444.1231102268,-313394.73914804583,8240544628.590442,True
31,12,49232.59263320987,-15.172598270490125,1984199.8015534368,180346.6339387981,115564967747.7584,True
32,3,55870.05731682226,-3.736294532091743,2100025.904148743,-212805.82210180824,2404154479.362818,True
33,8,52029.13465354054,-10.35417655584685,2356966.849533058,55568.2752896287,17366385000.282352,True
34,24,43856.00195296774,-24.436425202496697,1755576.5794278514,-525405.8699985001,217705774621.74878,True
35,13,61628.86762520788,6.186094060215465,2091101.6469289334,128843.50271393415,72020749813.61415,True
36,4,76513.69910815732,31.83255126158765,2086514.9434019327,-262684.9779243267,1740398598.0392728,True
37,12,69280.29477003118,19.36944780015613,1956092.808351278,-424779.38599985535,12232299072.593845,True
38,5,67047.95705661245,15.523146033704549,1937587.329103694,-271216.1293019365,10930635677.258059,True
39,4,54052.25520530637,-6.8683544487229575,2193607.183886294,55973.808872941,4134345582.8857803,True
40,7,55448.6244665278,-4.462420291104204,2255962.3453715974,3957.719933919485,15743677167.83836,True
41,13,48618.90341448864,-16.22998036453039,1769909.2169080353,-68571.31224040572,92698583950.70737,True
42,20,45982.662228808804,-20.772204898175936,1602971.8442536178,-431182.1820880381,262773463234.6267,True
43,8,43540.64174846349,-24.979788558480866,2357360.506939413,492053.90099777956,76690871456.2649,True
44,2,61869.681798927544,6.601015143256264,2125336.95519673,-138693.00462344592,118047805.04469532,True
45,1,51329.19942869223,-11.560159895891225,1674171.4110361824,-298937.4656662914,0.0,True
46,7,44906.40307674527,-22.626591648378707,1666400.8726182582,-145873.0677600258,23566657797.934696,True
47,20,45297.33932042143,-21.953011322434758,1891702.8067921535,-612240.3923891031,159207042093.00824,True
48,18,39814.694132144716,-31.3995694062476,2028247.5398526837,-543818.1846813677,29671860536.298737,True
49,7,60225.01689943675,3.7672693931813153,1970092.9911606908,-170698.415143631,15773812038.814121,True
