region_id,all_candidates,direct_existing_by_status,primary_regional_hub_candidates,total_usable_available_sf
0,17.0,17,3,473652.0
1,32.0,31,8,2845039.0
2,7.0,7,1,427800.0
3,0.0,0,0,0.0
4,35.0,35,12,1864109.0
5,30.0,30,5,651327.0
6,84.0,81,24,5598897.0
7,40.0,40,12,1475558.0
8,64.0,61,22,4228625.0
9,154.0,154,47,7954144.0
10,33.0,33,5,669685.0
11,66.0,64,13,1903099.0
12,0.0,0,0,0.0
13,52.0,51,15,2159786.0
14,22.0,22,3,493377.0
15,78.0,78,19,4131049.0
16,69.0,69,21,3570353.0
17,39.0,38,9,2110889.0
18,22.0,22,4,538565.0
19,9.0,9,0,0.0
20,13.0,13,5,959685.0
21,4.0,4,1,100200.0
22,0.0,0,0,0.0
23,10.0,9,3,511174.0
24,44.0,44,11,1846453.0
25,14.0,14,3,406514.0
26,37.0,37,12,2433391.0
27,19.0,19,8,1910931.0
28,25.0,25,3,308306.0
29,20.0,20,3,168265.0
30,49.0,47,5,1638940.0
31,0.0,0,0,0.0
32,51.0,48,8,2889582.0
33,96.0,95,23,4583657.0
34,19.0,19,3,899390.0
35,10.0,10,3,321000.0
36,55.0,55,21,4816406.0
37,21.0,21,5,352726.0
38,72.0,70,22,6364141.0
39,68.0,66,9,1554344.0
40,60.0,60,14,2702519.0
41,1.0,1,1,367363.0
42,63.0,62,5,589664.0
43,16.0,16,2,65624.0
44,16.0,16,3,254844.0
45,13.0,13,3,656579.0
46,5.0,5,2,492892.0
47,38.0,35,7,1586902.0
48,14.0,14,2,506532.0
49,44.0,40,8,3631547.0
