source_state,all_candidates,direct_existing_by_status,pipeline_or_proxy_by_status,listed_available_space,primary_regional_hub_candidates,total_usable_available_sf,median_rba_sf,median_loading_docks
PA,257,248,9,79,68,20007778.0,367600.0,39.0
NJ,235,231,4,70,62,13548015.0,362019.0,44.0
NY,201,201,0,67,57,8711045.0,265457.0,20.0
MA,196,196,0,58,54,10282138.0,273660.0,24.0
MD,196,191,5,61,54,10731365.0,267959.5,32.5
VA,242,236,6,60,51,8549905.0,291041.0,28.0
CT,96,94,2,24,21,4251075.0,272050.5,19.0
WV,92,92,0,14,12,1963925.0,169094.0,8.0
ME,58,58,0,10,9,980997.0,144071.0,7.0
RI,69,68,1,12,9,1338510.0,150351.0,8.0
VT,27,27,0,7,7,886000.0,143794.0,8.0
NH,28,27,1,9,6,1397721.0,277191.5,20.0
DE,41,39,2,7,5,1244881.0,250000.0,16.0
DC,12,12,0,4,3,122170.0,139612.0,12.5
